from_isco,to_isco,missing_skill_uri,missing_skill_label
2221,5221,http://data.europa.eu/esco/skill/cf22d572-a77f-410d-83e4-3a627cc8df77,supervise sales activities
2221,5221,http://data.europa.eu/esco/skill/d63c2bad-817d-4116-b4d8-b927cb01212d,commercial law
2221,5221,http://data.europa.eu/esco/skill/dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1,build business relationships
2221,5221,http://data.europa.eu/esco/skill/debb8d81-ed7f-447d-853a-5d107fda6fcf,provide customer follow-up services
2221,5221,http://data.europa.eu/esco/skill/e1f5c539-7c93-49ee-917d-a24e0d887686,control of expenses
2221,5221,http://data.europa.eu/esco/skill/ec8b44f6-e2ef-460a-b964-e66192a278bd,law of obligation
2221,5222,http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,apply company policies
2221,5222,http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea,manage budgets
2221,5222,http://data.europa.eu/esco/skill/2dbdd054-896a-4167-8f11-e9b9ebcf199d,"health, safety and hygiene legislation"
2221,5222,http://data.europa.eu/esco/skill/2fe15c51-bd67-4e35-b7df-ed4bccf0186e,provide department schedule for staff
2221,5222,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb,manage staff
2221,5222,http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b,recruit employees
2221,5222,http://data.europa.eu/esco/skill/687010cd-3f09-45c1-b6f8-0b860c129699,oversee promotional sales prices
2221,5222,http://data.europa.eu/esco/skill/a6ae7a34-5a5c-48dd-9b82-8beccca63e3c,ensure compliance with purchasing and contracting regulations
2221,5222,http://data.europa.eu/esco/skill/e1f5c539-7c93-49ee-917d-a24e0d887686,control of expenses
2221,5222,http://data.europa.eu/esco/skill/e54ff029-1ce9-447d-a5b2-eb7283a23e6e,train employees
2221,5222,http://data.europa.eu/esco/skill/ee1d5734-89b8-4519-81f1-733a6b4f8df8,monitor customer service
2221,7112,http://data.europa.eu/esco/skill/110d7aa3-e44e-4cce-a927-8d4de615f3d9,sort waste
2221,7112,http://data.europa.eu/esco/skill/13e1c0a2-b90d-46f4-be51-11730360b38d,lay bricks
2221,7112,http://data.europa.eu/esco/skill/156f8c5b-894a-4ccc-a70e-37a2726f3f00,work ergonomically
2221,7112,http://data.europa.eu/esco/skill/2da864d4-339f-40ab-91c0-9f8d229a2c0b,snap chalk line
2221,7112,http://data.europa.eu/esco/skill/3e3f2ff8-cf80-4415-ac6a-020d52b175c1,split bricks
2221,7112,http://data.europa.eu/esco/skill/4af56376-7b2f-4ced-ac58-0c3967bd1e83,transport construction supplies
2221,7112,http://data.europa.eu/esco/skill/50f2d23c-b3fb-48a5-967b-14fd0a6dd205,inspect construction supplies
2221,7112,http://data.europa.eu/esco/skill/6ed2fb8d-3580-497f-8a21-30a0ada5caae,secure working area
2221,7112,http://data.europa.eu/esco/skill/86df7af2-f9f3-4c06-a500-7f1fba9e78fe,follow health and safety procedures in construction
2221,7112,http://data.europa.eu/esco/skill/8ed53702-3e4e-4637-a4c3-9dc8f4281019,install construction profiles
2221,7112,http://data.europa.eu/esco/skill/aafbb139-02c6-4f35-bc62-ff73faf97d6d,interpret 3D plans
2221,7112,http://data.europa.eu/esco/skill/b6239792-033c-41ba-b09b-21837655436a,check straightness of brick
2221,7112,http://data.europa.eu/esco/skill/b92758d4-4591-4df1-9ceb-f907aa71ebd9,use measurement instruments
2221,7112,http://data.europa.eu/esco/skill/bfd96453-f2fd-43ea-afc1-fb2dc0d7367d,mix construction grouts
2221,7112,http://data.europa.eu/esco/skill/c643e59b-d74c-4f44-b76e-6e1d96c05ec4,use safety equipment in construction
2221,7112,http://data.europa.eu/esco/skill/ca309d1f-e080-42a3-b828-1c16e74aa9e7,finish mortar joints
2221,7112,http://data.europa.eu/esco/skill/dfce2aba-783e-4e17-9c17-e74aca505ec2,interpret 2D plans
2221,7112,http://data.europa.eu/esco/skill/fafbb75f-ec35-4cc2-996a-20c85ef6c266,follow safety procedures when working at heights
2221,7115,http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,unload cargo
2221,7115,http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,load cargo
2221,7115,http://data.europa.eu/esco/skill/0a85e1c5-393b-4348-97c4-7b5bef419e7d,replace faucets
2221,7115,http://data.europa.eu/esco/skill/0f58f88f-d46d-45d7-b0a1-46364e5f7013,plumbing tools
2221,7115,http://data.europa.eu/esco/skill/110d7aa3-e44e-4cce-a927-8d4de615f3d9,sort waste
2221,7115,http://data.europa.eu/esco/skill/113bbd65-c580-4155-b2d5-9f6d068712e2,install locks
2221,7115,http://data.europa.eu/esco/skill/11c0bfec-6bc8-4ec0-a535-91bd65be92c5,install wood elements in structures
2221,7115,http://data.europa.eu/esco/skill/14045611-b8b2-4b17-bcad-c39e18c47ee8,install cooktops
2221,7115,http://data.europa.eu/esco/skill/156f8c5b-894a-4ccc-a70e-37a2726f3f00,work ergonomically
2221,7115,http://data.europa.eu/esco/skill/16801a68-549b-4eaf-9531-f2d516a9380c,apply proofing membranes
2221,7115,http://data.europa.eu/esco/skill/1889010b-f796-4a79-ba6e-7451dc6e3e4a,cut insulation material to size
2221,7115,http://data.europa.eu/esco/skill/1fc92aff-e67f-4eff-8d1a-b3c22f852ad4,use shims
2221,7115,http://data.europa.eu/esco/skill/2da864d4-339f-40ab-91c0-9f8d229a2c0b,snap chalk line
2221,7115,http://data.europa.eu/esco/skill/2e8e2acf-5d58-4d99-807d-2ed77a6c8b17,join wood elements
2221,7115,http://data.europa.eu/esco/skill/31deb22d-4d1d-4b26-94bb-8e99d5e71b27,install oven
2221,7115,http://data.europa.eu/esco/skill/32a18bcb-6991-49ed-a96e-a88dae6bf127,install sill pan
2221,7115,http://data.europa.eu/esco/skill/4af56376-7b2f-4ced-ac58-0c3967bd1e83,transport construction supplies
2221,7115,http://data.europa.eu/esco/skill/4c06a716-6363-4308-b548-88f7a3e70097,woodworking tools
2221,7115,http://data.europa.eu/esco/skill/4fa2d6ba-4fff-4f21-bddd-4a54ae840955,work in a construction team
2221,7115,http://data.europa.eu/esco/skill/50f2d23c-b3fb-48a5-967b-14fd0a6dd205,inspect construction supplies
2221,7115,http://data.europa.eu/esco/skill/55f52ccc-fca9-434b-afab-497387e75359,check water pressure
2221,7115,http://data.europa.eu/esco/skill/59030382-506d-454d-81cd-787586ffb840,install PVC piping
2221,7115,http://data.europa.eu/esco/skill/5df6be8c-c4ff-4bef-b744-3d502e5e5330,create smooth wood surface
2221,7115,http://data.europa.eu/esco/skill/652b3110-1659-4b7d-bae9-ddb0e5e1f139,manipulate glass
2221,7115,http://data.europa.eu/esco/skill/65b32af2-3665-49a4-8eec-d3b2138ec09b,identify wood warp
2221,7115,http://data.europa.eu/esco/skill/77b8d33e-5948-4924-aefc-f4f4b7477576,types of piping
2221,7115,http://data.europa.eu/esco/skill/7a96889b-5ae5-4a43-bcdf-ed38a759b739,install metal gas piping
2221,7115,http://data.europa.eu/esco/skill/7dbc9e19-b037-4252-97ea-0c67ea095df2,install handrail
2221,7115,http://data.europa.eu/esco/skill/80e257a9-5725-4faf-ba94-d1675ccc878d,keep track of wooden elements
2221,7115,http://data.europa.eu/esco/skill/826770e6-9fa3-417d-bef2-8483d176b731,position carriage
2221,7115,http://data.europa.eu/esco/skill/86df7af2-f9f3-4c06-a500-7f1fba9e78fe,follow health and safety procedures in construction
